상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800445252,가마로닭강정,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11590,동작구,11590605,흑석동,1159010500,흑석동,1159010500102250015,1,대지,225,15,서울특별시 동작구 흑석동 225-15,115903119006,서울특별시 동작구 서달로,151,,1159010500102240001017670,제,서울특별시 동작구 서달로 151,156861,06973,,1,,126.961534642074,37.5069754179478
MA010120220800445378,수원왕갈비통닭,보라매점,I2,음식,I210,기타 간이,I21006,치킨,I56213,생맥주 전문점,11,서울특별시,11590,동작구,11590660,대방동,1159010800,대방동,1159010800104150051,1,대지,415,51,서울특별시 동작구 대방동 415-51,115904157550,서울특별시 동작구 여의대방로24가길,12,,1159010800104150005004103,,서울특별시 동작구 여의대방로24가길 12,156811,07055,,1,,126.921008197327,37.4987741397009
MA010120220800430361,페리카나,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11590,동작구,11590651,사당5동,1159010700,사당동,1159010700102130007,1,대지,213,7,서울특별시 동작구 사당동 213-7,115903119004,서울특별시 동작구 사당로,168,,1159010700102130007006364,,서울특별시 동작구 사당로 168,156879,07030,,,,126.967571599142,37.4868127026347
MA010120220800445715,치킨89,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11590,동작구,11590680,신대방2동,1159010900,신대방동,1159010900103460008,1,대지,346,8,서울특별시 동작구 신대방동 346-8,115903005078,서울특별시 동작구 보라매로,98,5,1159010900103460008001825,노블레스빌,서울특별시 동작구 보라매로 98-5,156847,07053,,,,126.92848410058,37.497931956184
MA010120220800439275,또바기치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11560,영등포구,11560650,신길3동,1156013200,신길동,1156013200103470294,1,대지,347,294,서울특별시 영등포구 신길동 347-294,115603000023,서울특별시 영등포구 가마산로,439,,1156013200103470294013808,,서울특별시 영등포구 가마산로 439,150848,07382,,,,126.905292040295,37.5053219054654
MA010120220800445910,메이카페,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11590,동작구,11590530,상도1동,1159010200,상도동,1159010200100070059,1,대지,7,59,서울특별시 동작구 상도동 7-59,115903119010,서울특별시 동작구 흑석로,23,,1159010200100070059029163,,서울특별시 동작구 흑석로 23,156830,06912,,2,,126.953302121467,37.5050983596393
MA010120220800445998,호치킨하우스,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11590,동작구,11590670,신대방1동,1159010900,신대방동,1159010900106910026,1,대지,691,26,서울특별시 동작구 신대방동 691-26,115904157498,서울특별시 동작구 신대방길,25,,1159010900106910026034236,,서울특별시 동작구 신대방길 25,156854,07070,,,,126.911103183778,37.4879910593668
MA010120220800446078,딥테이스트치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11590,동작구,11590510,노량진1동,1159010100,노량진동,1159010100103250004,1,대지,325,4,서울특별시 동작구 노량진동 325-4,115904157205,서울특별시 동작구 만양로3길,20,,1159010100103250004033177,신동아리버파크빌,서울특별시 동작구 만양로3길 20,156813,06926,,,,126.945880703427,37.5081946499037
MA010120220800446109,보드람치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11590,동작구,11590630,사당2동,1159010700,사당동,1159010700101450029,1,대지,145,29,서울특별시 동작구 사당동 145-29,115904157119,서울특별시 동작구 동작대로27가길,35,,1159010700101450029034099,명칭없음,서울특별시 동작구 동작대로27가길 35,156816,07008,,,,126.981185384489,37.4860588080555
MA010120220800446565,밸런스에프앤비,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11650,서초구,11650621,방배4동,1165010100,방배동,1165010100114210000,1,대지,1421,,서울특별시 서초구 방배동 1421,116504163668,서울특별시 서초구 동광로12가길,6,,1165010100114210000010112,호,서울특별시 서초구 동광로12가길 6,137852,06565,,,,126.984633663019,37.4875910206836
MA010120220800422955,좌충우돌닭강정,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11590,동작구,11590520,노량진2동,1159010100,노량진동,1159010100102310137,1,대지,231,137,서울특별시 동작구 노량진동 231-137,115903119008,서울특별시 동작구 장승배기로,137,,1159010100102310137030584,,서울특별시 동작구 장승배기로 137,156803,06935,,1,,126.939986802006,37.5098046008
MA010120220800423188,둘둘치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11140,중구,11140605,을지로동,1114015000,을지로4가,1114015000103090002,1,대지,309,2,서울특별시 중구 을지로4가 309-2,111404103242,서울특별시 중구 을지로20길,8,,1114015000103160006012405,,서울특별시 중구 을지로20길 8,100849,04549,,1,,126.995268682542,37.566060191354
MA010120220800440008,헬로우치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11590,동작구,11590640,사당3동,1159010700,사당동,1159010700111330000,1,대지,1133,,서울특별시 동작구 사당동 1133,115904157269,서울특별시 동작구 사당로23바길,9,,1159010700111330000009210,삼성래미안아파트,서울특별시 동작구 사당로23바길 9,156776,07002,,,,126.96918734896,37.4896062595415
MA010120220800446743,굽네치킨사당1동점,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11590,동작구,11590620,사당1동,1159010700,사당동,1159010700110380012,1,대지,1038,12,서울특별시 동작구 사당동 1038-12,115904157277,서울특별시 동작구 사당로26길,127,,1159010700110380012011661,,서울특별시 동작구 사당로26길 127,156826,07025,,1,,126.978146132924,37.4781834676937
MA010120220800423757,페리카나치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11560,영등포구,11560650,신길3동,1156013200,신길동,1156013200103250096,1,대지,325,96,서울특별시 영등포구 신길동 325-96,115604154019,서울특별시 영등포구 가마산로61길,3,1,1156013200103250096013802,,서울특별시 영등포구 가마산로61길 3-1,150848,07382,,,,126.90520120912,37.505601144147
MA010120220800423994,페리카나치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11560,영등포구,11560630,신길1동,1156013200,신길동,1156013200104510001,1,대지,451,1,서울특별시 영등포구 신길동 451-1,115604154754,서울특별시 영등포구 영등포로86길,12,,1156013200104510001017145,,서울특별시 영등포구 영등포로86길 12,150051,07354,,,,126.923086714073,37.5120383061212
MA010120220800431863,비비큐,사당점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11590,동작구,11590620,사당1동,1159010700,사당동,1159010700110300003,1,대지,1030,3,서울특별시 동작구 사당동 1030-3,115904157166,서울특별시 동작구 동작대로9길,7,,1159010700110300003010584,,서울특별시 동작구 동작대로9길 7,156826,07015,,1,,126.981085017435,37.4805265988115
